Timestamp,Dask APIs,Interactive or Batch?,Local machine or Cluster?,How often do you use Dask?,What Dask resources have you used for support in the last six months?,Which would help you most right now?,Is Dask stable enough for you?,What common feature requests do you care about most?  [Better Numpy/Pandas support],What common feature requests do you care about most?  [Better Scikit-Learn/ML support],What common feature requests do you care about most?  [Integrate with Deep Learning Frameworks],What common feature requests do you care about most?  [Support for new libraries in my field],What common feature requests do you care about most?  [Improve Scaling ],What common feature requests do you care about most?  [Dashboard / Diagnostics],What common feature requests do you care about most?  [Ease of deployment],What common feature requests do you care about most?  [Cloud integration],What common feature requests do you care about most?  [Managing many users],What common feature requests do you care about most?  [GPUs],Python 2 or 3?,"If you use a cluster, how do you launch Dask? ",Preferred Cloud?,What are some other libraries that you often use with Dask?,How easy is it for you to upgrade to newer versions of Python libraries,Do you use Dask as part of a larger group?
2019-06-25 07:16:37,Array;Delayed;ML;Xarray,Interactive:  I use Dask with Jupyter or IPython when playing with data;Batch: I submit scripts that run in the future,Personal laptop;Large workstation,Occasionally,Documentation;Stack Overflow #Dask tag;GitHub issue trackers (raising a new issue);GitHub issue trackers (reading past issues),More examples in my field,No,Critical to me,Somewhat useful,Not relevant for me,Somewhat useful,Somewhat useful,Critical to me,Somewhat useful,Not relevant for me,Not relevant for me,Somewhat useful,3.0,SSH,,"Numpy, matplotlib, scipy.optimize, scipy.sparse",4.0,My team or research group also use Dask
2019-06-25 07:18:30,Array;Bag;DataFrame;Delayed;Xarray,Interactive:  I use Dask with Jupyter or IPython when playing with data;Batch: I submit scripts that run in the future,Personal laptop;Cluster of 2-10 machines;Cluster with 10-100 machines,Every day,Documentation;Stack Overflow #Dask tag;Tutorial;GitHub issue trackers (reading past issues),More documentation,Yes,Critical to me,Somewhat useful,Not relevant for me,Somewhat useful,Critical to me,Somewhat useful,Critical to me,Somewhat useful,Somewhat useful,Somewhat useful,3.0,"SSH;HPC resource manager (SLURM, PBS, SGE, LSF or similar)",Amazon Web Services (AWS);Google Cloud Platform (GCP),xarray,4.0,I use Dask mostly on my own
2019-06-25 07:19:32,Array;Delayed;Xarray,Interactive:  I use Dask with Jupyter or IPython when playing with data,Personal laptop;Cluster with 10-100 machines,Every day,Documentation;Examples at examples.dask.org;GitHub issue trackers (reading past issues),Performance improvements,Yes,Critical to me,Somewhat useful,Somewhat useful,Somewhat useful,Somewhat useful,Critical to me,Critical to me,Critical to me,Somewhat useful,Somewhat useful,3.0,Kubernetes,Google Cloud Platform (GCP),xarray,4.0,My team or research group also use Dask
2019-06-25 07:20:34,Array;DataFrame;Delayed;Futures;ML;Xarray,Interactive:  I use Dask with Jupyter or IPython when playing with data,Large workstation;Cluster of 2-10 machines,Occasionally,Documentation;GitHub issue trackers (reading past issues),New features,Yes,Somewhat useful,Critical to me,Somewhat useful,Not relevant for me,Somewhat useful,Somewhat useful,Not relevant for me,Not relevant for me,Somewhat useful,Somewhat useful,3.0,Kubernetes,Microsoft Azure,"numpy, pandas, pyarrow",4.0,My team or research group also use Dask
2019-06-25 07:21:51,Bag;DataFrame,Interactive:  I use Dask with Jupyter or IPython when playing with data;Batch: I submit scripts that run in the future,Personal laptop;Large workstation;Cluster of 2-10 machines,Every day,Documentation;Stack Overflow #Dask tag,Performance improvements,Yes,Critical to me,Critical to me,Critical to me,,Somewhat useful,Somewhat useful,Somewhat useful,Not relevant for me,Not relevant for me,Not relevant for me,3.0,SSH,,,3.0,I use Dask mostly on my own
2019-06-25 07:22:16,Array;DataFrame;Delayed;Futures;ML,Interactive:  I use Dask with Jupyter or IPython when playing with data,Personal laptop;Cluster of 2-10 machines,Occasionally,Documentation;Stack Overflow #Dask tag;Examples at examples.dask.org,More examples in my field,Yes,Critical to me,Critical to me,Critical to me,,Critical to me,,,,,Critical to me,3.0,SSH;Kubernetes;My workplace has a custom solution for this,Amazon Web Services (AWS);Google Cloud Platform (GCP),NLTK ,3.0,I use Dask mostly on my own
2019-06-25 07:24:36,Array;DataFrame;Futures;Xarray,Interactive:  I use Dask with Jupyter or IPython when playing with data;Batch: I submit scripts that run in the future,Personal laptop;Large workstation;Cluster of 2-10 machines;Cluster with 10-100 machines;Cluster with 100+ machines,Every day,Documentation;Tutorial;GitHub issue trackers (raising a new issue),Performance improvements,Yes,Somewhat useful,Not relevant for me,Somewhat useful,Somewhat useful,Critical to me,Critical to me,Somewhat useful,Critical to me,Critical to me,Critical to me,3.0,"Kubernetes;HPC resource manager (SLURM, PBS, SGE, LSF or similar)",Google Cloud Platform (GCP),Xarray,4.0,My team or research group also use Dask
2019-06-25 07:25:22,Array;DataFrame;Delayed,Interactive:  I use Dask with Jupyter or IPython when playing with data,Personal laptop,Just looking for now,Documentation;Stack Overflow #Dask tag,More examples in my field,Yes,Critical to me,Somewhat useful,Not relevant for me,Not relevant for me,Critical to me,Not relevant for me,Critical to me,Critical to me,Critical to me,Not relevant for me,3.0,,Amazon Web Services (AWS),,1.0,I use Dask mostly on my own
2019-06-25 07:31:09,Xarray,Interactive:  I use Dask with Jupyter or IPython when playing with data,Cluster of 2-10 machines,Occasionally,Documentation;Stack Overflow #Dask tag;Tutorial;GitHub issue trackers (reading past issues),More examples in my field,Yes,Not relevant for me,Not relevant for me,Not relevant for me,Somewhat useful,Somewhat useful,Somewhat useful,Not relevant for me,Not relevant for me,Not relevant for me,Somewhat useful,3.0,Kubernetes,Google Cloud Platform (GCP),xarray,4.0,I use Dask mostly on my own
2019-06-25 07:42:40,Xarray,Interactive:  I use Dask with Jupyter or IPython when playing with data,Personal laptop;Large workstation,Occasionally,Documentation;Tutorial;Examples at examples.dask.org,More examples in my field,Yes,Critical to me,Not relevant for me,Not relevant for me,Somewhat useful,Not relevant for me,Not relevant for me,Somewhat useful,Somewhat useful,Not relevant for me,Somewhat useful,3.0,"I don't know, someone else does this for me",Amazon Web Services (AWS),xarray,4.0,My team or research group also use Dask
2019-06-25 07:47:18,DataFrame;Delayed,Interactive:  I use Dask with Jupyter or IPython when playing with data,Personal laptop;Large workstation;Cluster of 2-10 machines,Every day,Stack Overflow #Dask tag;Tutorial;Examples at examples.dask.org;GitHub issue trackers (raising a new issue);GitHub issue trackers (reading past issues),New features,Yes,Critical to me,Critical to me,Somewhat useful,Critical to me,Critical to me,Critical to me,Critical to me,Critical to me,Critical to me,Critical to me,3.0,"I don't know, someone else does this for me",Amazon Web Services (AWS);Google Cloud Platform (GCP),,3.0,My team or research group also use Dask
2019-06-25 07:57:59,Delayed;Futures,Interactive:  I use Dask with Jupyter or IPython when playing with data;Batch: I submit scripts that run in the future,Large workstation,Occasionally,Documentation;Stack Overflow #Dask tag;Tutorial;GitHub issue trackers (reading past issues),New features,Yes,Somewhat useful,Somewhat useful,Somewhat useful,Somewhat useful,Not relevant for me,Not relevant for me,Not relevant for me,Not relevant for me,Somewhat useful,Somewhat useful,3.0,SSH,Amazon Web Services (AWS),,4.0,I use Dask mostly on my own
2019-06-25 08:00:13,DataFrame;ML,Batch: I submit scripts that run in the future,Personal laptop,Occasionally,Documentation;Tutorial;Examples at examples.dask.org;GitHub issue trackers (reading past issues),Bug fixes,No,Somewhat useful,Critical to me,Not relevant for me,Not relevant for me,Somewhat useful,Not relevant for me,Somewhat useful,Not relevant for me,Not relevant for me,Not relevant for me,3.0,,Google Cloud Platform (GCP),Scikit,4.0,I use Dask mostly on my own
2019-06-25 08:00:35,Array;DataFrame;Delayed;Futures,Interactive:  I use Dask with Jupyter or IPython when playing with data;Batch: I submit scripts that run in the future,Personal laptop;Large workstation,Occasionally,Documentation;Tutorial;GitHub issue trackers (raising a new issue),New features,Yes,Critical to me,Somewhat useful,Critical to me,Critical to me,Somewhat useful,Not relevant for me,Somewhat useful,Somewhat useful,Somewhat useful,Critical to me,3.0,Kubernetes,,"Python API for ArcGIS, sklearn",3.0,My team or research group also use Dask
2019-06-25 08:08:45,Array;Bag;DataFrame;Delayed;Futures;Xarray,Interactive:  I use Dask with Jupyter or IPython when playing with data;Batch: I submit scripts that run in the future,Personal laptop;Large workstation;Cluster of 2-10 machines;Cluster with 10-100 machines;Cluster with 100+ machines,Every day,Documentation;Stack Overflow #Dask tag;Tutorial;Examples at examples.dask.org;GitHub issue trackers (raising a new issue);GitHub issue trackers (reading past issues),Performance improvements,Yes,Somewhat useful,Not relevant for me,Not relevant for me,Somewhat useful,Critical to me,Somewhat useful,Somewhat useful,Somewhat useful,Somewhat useful,Somewhat useful,3.0,"SSH;Kubernetes;Hadoop / Yarn / EMR;HPC resource manager (SLURM, PBS, SGE, LSF or similar)",Google Cloud Platform (GCP),,4.0,"Beyond my group, many people throughout my institution use Dask"
2019-06-25 08:09:25,Bag;DataFrame;Delayed;Futures,Interactive:  I use Dask with Jupyter or IPython when playing with data;Batch: I submit scripts that run in the future,Large workstation;Cluster with 100+ machines,Every day,Documentation;Stack Overflow #Dask tag;Examples at examples.dask.org;GitHub issue trackers (reading past issues);sometimes reading the code,Performance improvements,Yes,Critical to me,Not relevant for me,Not relevant for me,Somewhat useful,Critical to me,Not relevant for me,,Not relevant for me,Critical to me,Critical to me,3.0,"SSH;HPC resource manager (SLURM, PBS, SGE, LSF or similar);clustershell",,"pyviz,hvplot",3.0,My team or research group also use Dask
2019-06-25 08:31:46,Array;Delayed;Futures;Xarray,Interactive:  I use Dask with Jupyter or IPython when playing with data;Batch: I submit scripts that run in the future,Personal laptop;Large workstation;Cluster of 2-10 machines;Cluster with 100+ machines,Every day,Documentation;Stack Overflow #Dask tag;GitHub issue trackers (reading past issues),Bug fixes,No,Critical to me,Critical to me,Critical to me,Somewhat useful,Critical to me,Critical to me,Critical to me,Somewhat useful,Not relevant for me,Critical to me,3.0,SSH,Amazon Web Services (AWS);Google Cloud Platform (GCP),"Keras, pandas, scikit-learn, tensorflow, numpy ",3.0,"Beyond my group, many people throughout my institution use Dask"
2019-06-25 08:35:51,DataFrame,Interactive:  I use Dask with Jupyter or IPython when playing with data,Personal laptop;Large workstation,Occasionally,Documentation;Stack Overflow #Dask tag;Tutorial;Examples at examples.dask.org,More examples in my field,Yes,Somewhat useful,Somewhat useful,Somewhat useful,Not relevant for me,Critical to me,Somewhat useful,Somewhat useful,Somewhat useful,Not relevant for me,Critical to me,3.0,"Kubernetes;HPC resource manager (SLURM, PBS, SGE, LSF or similar)",Google Cloud Platform (GCP),Pandas scikit learn ,4.0,I use Dask mostly on my own
2019-06-25 08:45:44,Array;Bag;DataFrame;Delayed;Xarray,Interactive:  I use Dask with Jupyter or IPython when playing with data,Personal laptop,Occasionally,Documentation;Stack Overflow #Dask tag;Tutorial;Examples at examples.dask.org,More examples in my field,Yes,Critical to me,Somewhat useful,Somewhat useful,Critical to me,Somewhat useful,Critical to me,Critical to me,Critical to me,Somewhat useful,Not relevant for me,3.0,,Amazon Web Services (AWS),"pandas, geopandas, numpy",4.0,I use Dask mostly on my own
2019-06-25 08:46:22,Array;DataFrame;Xarray,,Personal laptop,Occasionally,Documentation;Stack Overflow #Dask tag;Examples at examples.dask.org,More examples in my field,Yes,Critical to me,Somewhat useful,Not relevant for me,Critical to me,Somewhat useful,Somewhat useful,Critical to me,Not relevant for me,Not relevant for me,Not relevant for me,3.0,,,"xarray, pandas, scipy",4.0,I use Dask mostly on my own
2019-06-25 08:59:57,Array;Delayed,Interactive:  I use Dask with Jupyter or IPython when playing with data,Personal laptop;Large workstation;Cluster with 100+ machines,Every day,Documentation;GitHub issue trackers (raising a new issue);GitHub issue trackers (reading past issues),Performance improvements,Yes,Somewhat useful,Not relevant for me,Somewhat useful,Not relevant for me,Somewhat useful,Somewhat useful,Somewhat useful,Not relevant for me,Not relevant for me,Somewhat useful,3.0,"HPC resource manager (SLURM, PBS, SGE, LSF or similar)",,"[Image processing stuff] Scipy, Scikit-image",4.0,My team or research group also use Dask
2019-06-25 09:01:58,DataFrame;Delayed,Interactive:  I use Dask with Jupyter or IPython when playing with data,Personal laptop;Large workstation,Occasionally,Documentation;Stack Overflow #Dask tag;Tutorial;Examples at examples.dask.org;GitHub issue trackers (raising a new issue);GitHub issue trackers (reading past issues),More examples in my field,Yes,Critical to me,Critical to me,Somewhat useful,Somewhat useful,Somewhat useful,Critical to me,Critical to me,Critical to me,Critical to me,Critical to me,3.0,,Amazon Web Services (AWS),,3.0,My team or research group also use Dask
2019-06-25 09:07:26,Delayed;Futures,Batch: I submit scripts that run in the future,Personal laptop;Cluster of 2-10 machines,"I use Dask all the time, even when I sleep",Documentation;GitHub issue trackers (raising a new issue);GitHub issue trackers (reading past issues),More documentation,Yes,Somewhat useful,Somewhat useful,Somewhat useful,Somewhat useful,Somewhat useful,Somewhat useful,Critical to me,Critical to me,Critical to me,Somewhat useful,3.0,Kubernetes,Amazon Web Services (AWS);Google Cloud Platform (GCP),,4.0,My team or research group also use Dask
2019-06-25 09:13:20,Array;DataFrame;Delayed;Futures;ML,Interactive:  I use Dask with Jupyter or IPython when playing with data;Batch: I submit scripts that run in the future,Cluster with 10-100 machines;Cluster with 100+ machines,Occasionally,Documentation;Stack Overflow #Dask tag;Tutorial;Examples at examples.dask.org,More documentation,Yes,Critical to me,Somewhat useful,Not relevant for me,Somewhat useful,Critical to me,Critical to me,Critical to me,Not relevant for me,Not relevant for me,Critical to me,3.0,"SSH;HPC resource manager (SLURM, PBS, SGE, LSF or similar)",None,,3.0,My team or research group also use Dask
2019-06-25 09:21:17,Array;DataFrame,Interactive:  I use Dask with Jupyter or IPython when playing with data,Personal laptop;Large workstation,Occasionally,Documentation;Tutorial;Examples at examples.dask.org,More examples in my field,Yes,Critical to me,Critical to me,Somewhat useful,Somewhat useful,Critical to me,Somewhat useful,Critical to me,Somewhat useful,Somewhat useful,Somewhat useful,3.0,"SSH;HPC resource manager (SLURM, PBS, SGE, LSF or similar)",Google Cloud Platform (GCP),,3.0,I use Dask mostly on my own
2019-06-25 09:21:37,Array;DataFrame;Delayed;Futures;ML;Xarray,Interactive:  I use Dask with Jupyter or IPython when playing with data,Personal laptop;Cluster of 2-10 machines,Occasionally,Documentation;Tutorial;Examples at examples.dask.org,More documentation,Yes,Critical to me,Somewhat useful,Critical to me,Somewhat useful,Somewhat useful,Somewhat useful,Somewhat useful,Somewhat useful,Somewhat useful,Critical to me,3.0,SSH;Kubernetes,Amazon Web Services (AWS);Google Cloud Platform (GCP);Microsoft Azure,,4.0,I use Dask mostly on my own
2019-06-25 09:25:16,DataFrame;Delayed;ML,Interactive:  I use Dask with Jupyter or IPython when playing with data;Batch: I submit scripts that run in the future,Personal laptop;Large workstation,Occasionally,Documentation;Stack Overflow #Dask tag;Tutorial;Examples at examples.dask.org,More examples in my field,Yes,Critical to me,Critical to me,Critical to me,Somewhat useful,Somewhat useful,Somewhat useful,Somewhat useful,,Somewhat useful,Critical to me,3.0,"I don't know, someone else does this for me",Amazon Web Services (AWS);Microsoft Azure,,3.0,I use Dask mostly on my own
2019-06-25 09:33:33,Array;DataFrame;Delayed;Xarray,Interactive:  I use Dask with Jupyter or IPython when playing with data,Personal laptop;Large workstation,Every day,Documentation;GitHub issue trackers (raising a new issue);GitHub issue trackers (reading past issues),More documentation,Yes,Critical to me,Not relevant for me,Not relevant for me,Somewhat useful,Somewhat useful,Somewhat useful,Somewhat useful,Somewhat useful,Not relevant for me,Somewhat useful,3.0,,Google Cloud Platform (GCP),"Xarray, datashader, holoviews",4.0,"Beyond my group, many people throughout my institution use Dask"
2019-06-25 09:34:51,Array;DataFrame,Interactive:  I use Dask with Jupyter or IPython when playing with data;Batch: I submit scripts that run in the future,Personal laptop;Large workstation;Cluster of 2-10 machines,Occasionally,Documentation;Stack Overflow #Dask tag;Tutorial,More documentation,Yes,Critical to me,Critical to me,Somewhat useful,Somewhat useful,Not relevant for me,Not relevant for me,Not relevant for me,Not relevant for me,Not relevant for me,Somewhat useful,3.0,SSH,,,3.0,I use Dask mostly on my own
2019-06-25 09:38:24,DataFrame,Interactive:  I use Dask with Jupyter or IPython when playing with data,Personal laptop;Cluster with 10-100 machines;Cluster with 100+ machines,Occasionally,Documentation;Stack Overflow #Dask tag;Examples at examples.dask.org;GitHub issue trackers (reading past issues),New features,Yes,Somewhat useful,Somewhat useful,Somewhat useful,Not relevant for me,Critical to me,Critical to me,Critical to me,Critical to me,Somewhat useful,Not relevant for me,3.0,SSH,Amazon Web Services (AWS),s3fs dateutil pyarrow matplotlib,4.0,I use Dask mostly on my own
2019-06-25 09:42:15,Array;DataFrame;Delayed;Xarray,Interactive:  I use Dask with Jupyter or IPython when playing with data;Batch: I submit scripts that run in the future,Personal laptop;Large workstation;Cluster with 10-100 machines;Cluster with 100+ machines,"I use Dask all the time, even when I sleep",Documentation;Tutorial;Examples at examples.dask.org;GitHub issue trackers (reading past issues),More examples in my field,Yes,Critical to me,Not relevant for me,Not relevant for me,Critical to me,Critical to me,Critical to me,Critical to me,Not relevant for me,Somewhat useful,Somewhat useful,3.0,"SSH;HPC resource manager (SLURM, PBS, SGE, LSF or similar)",Amazon Web Services (AWS),"xarray, pandas, cartopy",3.0,My team or research group also use Dask
2019-06-25 09:43:31,DataFrame,Interactive:  I use Dask with Jupyter or IPython when playing with data;Batch: I submit scripts that run in the future,Personal laptop;Large workstation,Just looking for now,Documentation;GitHub issue trackers (raising a new issue);GitHub issue trackers (reading past issues),New features,Yes,Critical to me,Critical to me,Critical to me,Somewhat useful,,Not relevant for me,Somewhat useful,Somewhat useful,Not relevant for me,Critical to me,3.0,Kubernetes,Amazon Web Services (AWS);Microsoft Azure,"spacy, nltk, re, ",3.0,I use Dask mostly on my own
2019-06-25 09:43:56,DataFrame,Batch: I submit scripts that run in the future,Personal laptop,Occasionally,Documentation;Stack Overflow #Dask tag;Tutorial,More examples in my field,Yes,Critical to me,Not relevant for me,Not relevant for me,Somewhat useful,Critical to me,Critical to me,Critical to me,Critical to me,Critical to me,Not relevant for me,3.0,Kubernetes,Amazon Web Services (AWS);Google Cloud Platform (GCP),,3.0,I use Dask mostly on my own
2019-06-25 09:50:11,Array;Delayed;Xarray,Interactive:  I use Dask with Jupyter or IPython when playing with data;Batch: I submit scripts that run in the future,Personal laptop;Cluster with 10-100 machines;Cluster with 100+ machines,Every day,Documentation;Stack Overflow #Dask tag;Examples at examples.dask.org;GitHub issue trackers (raising a new issue);GitHub issue trackers (reading past issues),Performance improvements,Yes,Somewhat useful,Critical to me,Critical to me,Somewhat useful,Critical to me,Somewhat useful,Somewhat useful,Somewhat useful,Critical to me,Somewhat useful,3.0,"Kubernetes;HPC resource manager (SLURM, PBS, SGE, LSF or similar)",Amazon Web Services (AWS);Google Cloud Platform (GCP),Xarray and surrounding ecosystem ,4.0,"Beyond my group, many people throughout my institution use Dask"
2019-06-25 09:51:24,Delayed,Interactive:  I use Dask with Jupyter or IPython when playing with data;Batch: I submit scripts that run in the future,Personal laptop;Large workstation;Cluster of 2-10 machines,"I use Dask all the time, even when I sleep",Documentation;GitHub issue trackers (reading past issues),Performance improvements,Yes,Not relevant for me,Not relevant for me,Not relevant for me,Not relevant for me,Somewhat useful,Somewhat useful,Critical to me,Not relevant for me,Not relevant for me,Not relevant for me,3.0,"HPC resource manager (SLURM, PBS, SGE, LSF or similar)",Academic HPC,pycalphad,4.0,My team or research group also use Dask
2019-06-25 09:53:45,Array;DataFrame,Interactive:  I use Dask with Jupyter or IPython when playing with data;Batch: I submit scripts that run in the future,Personal laptop;Large workstation,Occasionally,Documentation;GitHub issue trackers (raising a new issue);GitHub issue trackers (reading past issues),Performance improvements,Yes,Critical to me,Somewhat useful,Somewhat useful,Somewhat useful,Critical to me,Critical to me,Critical to me,Not relevant for me,Not relevant for me,Not relevant for me,3.0,Kubernetes,,,4.0,My team or research group also use Dask
2019-06-25 10:36:10,Array;Bag;DataFrame;Delayed,Interactive:  I use Dask with Jupyter or IPython when playing with data;Batch: I submit scripts that run in the future,Large workstation;Cluster of 2-10 machines,Occasionally,Documentation;Stack Overflow #Dask tag;Tutorial,More documentation,Yes,Critical to me,Somewhat useful,Somewhat useful,Not relevant for me,Critical to me,Critical to me,Critical to me,Somewhat useful,Not relevant for me,Critical to me,3.0,SSH,,"Xtensor, networkx, geopandas, holoviews",4.0,I use Dask mostly on my own
2019-06-25 10:39:13,DataFrame;Delayed;Futures,Interactive:  I use Dask with Jupyter or IPython when playing with data;Batch: I submit scripts that run in the future,Personal laptop;Cluster of 2-10 machines;Cluster with 10-100 machines,Every day,Documentation;Examples at examples.dask.org;GitHub issue trackers (raising a new issue);GitHub issue trackers (reading past issues),Bug fixes,Yes,Somewhat useful,Not relevant for me,Somewhat useful,Not relevant for me,Somewhat useful,Critical to me,Not relevant for me,,Critical to me,,3.0,Kubernetes,Amazon Web Services (AWS),"pandas,hyperscan",4.0,My team or research group also use Dask
2019-06-25 11:01:00,DataFrame,Interactive:  I use Dask with Jupyter or IPython when playing with data,Personal laptop;Cluster with 10-100 machines,Just looking for now,Documentation;Tutorial;Examples at examples.dask.org,New features,Yes,Somewhat useful,Somewhat useful,Somewhat useful,Critical to me,Not relevant for me,Somewhat useful,Not relevant for me,Somewhat useful,Not relevant for me,Somewhat useful,3.0,SSH,,pandas,3.0,I use Dask mostly on my own
2019-06-25 11:09:24,Array;DataFrame;ML,Interactive:  I use Dask with Jupyter or IPython when playing with data,Personal laptop;Large workstation,Occasionally,Documentation;Stack Overflow #Dask tag;Examples at examples.dask.org,More examples in my field,Yes,Somewhat useful,Critical to me,Critical to me,Not relevant for me,Not relevant for me,Not relevant for me,Not relevant for me,Not relevant for me,Not relevant for me,Not relevant for me,3.0,SSH,Amazon Web Services (AWS);Google Cloud Platform (GCP),xgboost,3.0,I use Dask mostly on my own
2019-06-25 11:09:52,Array;Bag;DataFrame;ML;Xarray,Interactive:  I use Dask with Jupyter or IPython when playing with data,Large workstation,Occasionally,Documentation,Performance improvements,Yes,Somewhat useful,Critical to me,Critical to me,Somewhat useful,Somewhat useful,Critical to me,Somewhat useful,Somewhat useful,Somewhat useful,Critical to me,3.0,,Google Cloud Platform (GCP),Pandas and SKLearn,4.0,I use Dask mostly on my own
